,Name,Year,Rating,Critic Consensus,Summary
115,Of an Age,(2022),86,"While it may not belong in the upper ranks of cinematic queer love stories, Of an Age is a moving romance elevated by powerhouse performances."," OF AN AGE is set in the summer of 1999 as a 17-year-old Serbian born, Australian amateur ballroom dancer experiences... [More]"
116,The Five Devils,(2022),86,"Overflowing with ideas as it moves across genres, The Five Devils uses intoxicating magical realism to explore a family's troubled past."," Eight-year-old Vicky has a mysterious gift: she can recreate any scent she comes across, even that of her beloved mother... [More]"
117,The Wrath of Becky,(2023),86,"Bringing Lulu Wilson back for another round of whooping on bad guys, this Wrath is one Becky with the good sequel."," Two years after she escaped a violent attack on her family, Becky attempts to rebuild her life in the care... [More]"
118,The Killer,(2023),85,The Killer finds director David Fincher on firm footing with a stylish and engaging thriller that proves a perfect match for leading man Michael Fassbender.," After a fateful near-miss an assassin battles his employers, and himself, on an international manhunt he insists isn't personal.... [More]"
119,Fair Play,(2023),85,"With assured style that's at times reminiscent of the best '90s nail-biting thrillers, Fair Play juxtaposes premarital disharmony with greed and gender politics in the cutthroat finance world."," When a coveted promotion at a cutthroat financial firm arises, once supportive exchanges between lovers Emily (Phoebe Dynevor) and Luke... [More]"
120,Eileen,(2023),83,"Anne Hathaway and Thomasin McKenzie prove a well-matched duo in Eileen, which honors its source material with a twisty tale of obsession.", Eileen is a peculiar young woman -- aloof and unfazed by the gloomy nature of her job at the local... [More]
121,Nyad,(2023),85,"Nyad is an uplifting sports biopic strictly on the merits of its story, but it's the outstanding performances from Annette Bening and Jodie Foster that really keep this picture afloat."," A remarkable true story of tenacity, friendship and the triumph of the human spirit, NYAD recounts a riveting chapter in... [More]"
122,Suitable Flesh,(2023),85,"ampy and creepy, Suitable Flesh delivers visceral, '80s-inspired horror topped off by game performances from Barbara Crampton and Heather Graham.", Psychiatrist Elizabeth Derby becomes obsessed with helping a young patient suffering extreme personality disorder. But it leads her into dark... [More]
123,The Angry Black Girl and Her Monster,(2023),85,"Injecting a classic story with fresh innovation and social relevance, The Angry Black Girl and Her Monster is a thrillingly assured feature debut for writer-director Bomani J. Story.", Vicaria is a brilliant teenager who believes death is a disease that can be cured. After the brutal and sudden... [More]
124,Cairo Conspiracy,(2022),85,"Although it may not fully unlock the promise of its tension-rich setting and premise, Cairo Conspiracy's strong performances and sophisticated script offer solidly satisfying compensation."," Adam, the son of a fisherman, is offered the ultimate privilege to study at the Al-Azhar University in Cairo, the... [More]"
125,Wonka,(2023),82,"With director Paul King at the helm and some solid new songs at the ready, the warmly old-fashioned Wonka puts a suitably sweet spin on the classic character while still leaving some room for the source material's darker undertones."," Based on the extraordinary character at the center of Charlie and the Chocolate Factory, Roald Dahl’s most iconic children's book... [More]"
126,Evil Dead Rise,(2023),84,"Offering just about everything longtime fans could hope for while still managing to carry the franchise forward, Evil Dead Rise is all kinds of groovy."," In the fifth Evil Dead film, a road-weary Beth pays an overdue visit to her older sister Ellie, who is... [More]"
127,Dumb Money,(2023),84,"Dumb Money's crowd-pleasing dramatization of real-life stock hijinks may not tell the complete story, but it's rousingly entertaining nonetheless."," Dumb Money is the ultimate David vs. Goliath tale, based on the insane true story of everyday people who flipped... [More]"
128,Rustin,(2023),84,"lman Domingo is sensational in Rustin, a stirring biopic that shines an overdue light on a remarkable legacy of public service."," The architect of 1963's momentous March on Washington, Bayard Rustin was one of the greatest activists and organizers the world... [More]"
129,Thanksgiving,(2023),84,"mbining belly-busting humor with delightfully over-the-top gore, Thanksgiving is a feast for grindhouse fans."," After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts -- the birthplace of the... [More]"
130,Shortcomings,(2023),85,"Randall Park's directorial debut has humor and heart, giving star Justin H. Min a swoonworthy starring vehicle with few Shortcomings."," Ben, a struggling filmmaker, lives in Berkeley, California, with his girlfriend, Miko, who works for a local Asian American film... [More]"
131,Jules,(2023),85,"Brought to life by an outstanding ensemble cast, Jules uses its cute concept to grapple with poignant, universally relatable themes."," Jules follows Milton (Ben Kingsley) who lives a quiet life of routine in a small western Pennsylvania town, but finds... [More]"
132,Guardians of the Galaxy Vol. 3,(2023),82,"A galactic group hug that might squeeze a little too tight on the heartstrings, the final Guardians of the Galaxy is a loving last hurrah for the MCU's most ragtag family."," In Marvel Studios ""Guardians of the Galaxy Vol. 3"" our beloved band of misfits are looking a bit different these... [More]"
133,Priscilla,(2023),84,"With Cailee Spaeny's performance in the title role leading the way, Priscilla sees Sofia Coppola taking a tender yet clear-eyed look at the often toxic blend created by mixing first love and fame."," When teenage Priscilla Beaulieu meets Elvis Presley at a party, the man who is already a meteoric rock-and-roll superstar becomes... [More]"
134,Tetris,(2023),81,"While it's nowhere near as addictive or fast-paced as the game, Tetris offers a fun, fizzy account of the story behind an 8-bit classic."," ""Tetris"" tells the unbelievable story of how one of the world's most popular video games found its way to avid... [More]"
135,El Conde,(2023),82,"A darkly delirious satire rooted in real-life horror, El Conde finds Pablo Larraín revisiting familiar themes without losing their provocative power.", 	El Conde is a dark comedy/horror that imagines a parallel universe inspired by the recent history of Chile. The film... [More]
136,No One Will Save You,(2023),82,"A home invasion thriller with an extraterrestrial twist, No One Will Save You serves up more genre fun from writer-director Brian Duffield -- and proves Kaitlyn Dever doesn't need much dialogue to command the screen."," ""No One Will Save You"" introduces Brynn Adams (Kaitlyn Dever), a creative and talented young woman who’s been alienated from... [More]"
137,Linoleum,(2022),82,"A solid showcase for Jim Gaffigan as well as a sneakily ambitious dramedy, Linoleum adds another impressive entry to writer-director Colin West's filmography."," Cameron Edwin (Jim Gaffigan), the host of a failing children's science TV show called ""Above & Beyond"", has always had... [More]"
138,The Persian Version,(2023),84,"A vibrant portrait of culture clashes and generation gaps, The Persian Version gains added resonance through its spirited specificity.", Leila is an Iranian American woman who strives to find balance and embrace her opposing cultures. When her large family... [More]
139,Rotting in the Sun,(2023),83,Rotting in the Sun's bold ambition and infectious frenetic energy prove a natural -- albeit not universally appealing -- fit for its unique flavor of dark mischief., Writer-director Sebastián Silva's Sundance hit ROTTING IN THE SUN is a darkly funny and refreshingly audacious meta-comedy that skewers the... [More]
140,Monica,(2022),84,"Bolstered by a powerful lead performance from Trace Lysette, Monica follows a personal quest that's as beautifully filmed as it is emotionally resonant."," Monica is an intimate portrait of a woman who, for the first time in 20 years, returns home to the... [More]"
141,Maestro,(2023),79,"Led by a pair of powerful performances, Maestro serves as a stirring overview of a tremendous talent's life and legacy.", Maestro is a towering and fearless love story chronicling the lifelong relationship between Leonard Bernstein and Felicia Montealegre Cohn Bernstein.... [More]
142,Leo,(2023),82,"Slick animation, catchy songs, and some winning voice work from a cast led by Adam Sandler help Leo strike an uneasy balance between satirical and sweet."," Actor and comedian Adam Sandler (Hotel Transylvania, The Wedding Singer) delivers signature laughs in this coming-of-age animated musical comedy about... [More]"
143,Perpetrator,(2023),82,"A smartly ambitious supernatural thriller, Perpetrator blends an assortment of genres and influences into a bloody good time.", Jonny Baptiste (Kiah McKirnan) is a reckless teen sent to live with her estranged Aunt Hildie (Alicia Silverstone). On her... [More]
144,Saw X,(2023),80,"Led by a franchise-best performance from Tobin Bell, Saw X reinvigorates the series with an installment that has a surprising amount of heart to go with all the gore.", John Kramer (Tobin Bell) is back. The most chilling installment of the SAW franchise yet explores the untold chapter of... [More]
145,Biosphere,(2022),80,"Biosphere's rambling, unfinished feel doesn't always serve its thoughtful themes, but it's often offset by the engaging interplay between the movie's well-matched leads."," In the not-too-distant future, the last two men on earth must adapt and evolve to save humanity.... [More]"
146,Quiz Lady,(2023),81,Quiz Lady's perfectly matched leads help Jessica Yu's occasionally uneven comedy overcome its periodic wobbles and land on the right side of hilarious and heartfelt.," In Quiz Lady, a brilliant but tightly wound, gameshow-obsessed young woman, Anne (Awkwafina), and her estranged, train-wreck of a sister... [More]"
147,Extraction 2,(2023),79,"Bigger, bolder, and in some respects even better than its predecessor, Extraction 2 is an over-the-top action thriller done right."," Chris Hemsworth returns as Tyler Rake in EXTRACTION 2, the sequel to Netflix's blockbuster action film EXTRACTION. After barely surviving... [More]"
148,Chicken Run: Dawn of the Nugget,(2023),81,"hicken Run: Dawn of the Nugget offers more of the easy laughs and eye-catching animation that fans of the original enjoyed, although there's a general feeling of diminishing returns."," Having escaped from the farm, Ginger and Rocky welcome a new little adventurer into their lives. Back on the mainland,... [More]"
149,Enys Men,(2022),80,"If its story's mysteries are ultimately less compelling than they might seem, Enys Men's retro aesthetic and intriguingly abstract visuals make this a chilly treat for horror fans.", A wildlife volunteer on an uninhabited island off the British coast descends into a terrifying madness that challenges her grip... [More]
150,Origin,(2023),81,"A moving drama that's unafraid to ask big questions, Origin honors its source material with powerful performances in service of a deeply emotional story."," While grappling with tremendous personal tragedy, Isabel sets herself on a path of global investigation and discovery. Despite the colossal... [More]"
151,Between Two Worlds,(2021),79,"Led by a typically brilliant performance from Juliette Binoche, Between Two Worlds takes a pointed yet possibly patronizing look at the human face of economic inequality.", Famed author Marianne Winckler (Juliette Binoche) goes undercover to investigate the exploitation of the working class in Northern France. She... [More]
152,Scarlet,(2022),79,"Its many disparate ingredients come together in a somewhat lumpy blend, but Scarlet remains a largely bewitching period fantasy."," Shortly after World War I, veteran Raphaël (Raphaël Thiery) returns home from the frontlines to find himself a widower, and... [More]"
153,Blue Beetle,(2023),78,"Led by Xolo Maridueña's magnetic performance in the title role, Blue Beetle is a refreshingly family-focused superhero movie with plenty of humor and heart."," Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not... [More]"
154,Plane,(2023),78,"Plane charts a standard action-adventure course with its cruising altitude just a few miles above Direct-to-Video -- but with Gerard Butler in the cockpit, thriller enthusiasts will still find this a fun flight."," In the white-knuckle action movie PLANE, pilot Brodie Torrance (Gerard Butler) saves his passengers from a lightning strike by making... [More]"
155,Chevalier,(2022),77,"Supported by Kelvin Harrison Jr.'s outstanding work in the title role, Chevalier offers an entertaining gateway into the incredible life of a brilliant artist."," Inspired by the incredible true story of composer Joseph Bologne, Chevalier de Saint-Georges. The illegitimate son of an African slave... [More]"
156,The Lost King,(2022),77,"The movie's curiously bland compared to the remarkable real-life story it dramatizes, but Sally Hawkins' performance saves The Lost King from feeling like a royal disappointment."," In this inspiring true story, amateur historian Philippa Langley believes she has made the archeological find of the century: the... [More]"
157,Scream VI,(2023),76,"ain aspects of horror's most murderously meta franchise may be going stale, but a change of setting and some inventive set pieces help keep Scream VI reasonably sharp."," Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.... [More]"
158,A Haunting in Venice,(2023),76,"A darker and spookier spin on Branagh's Poirot, A Haunting in Venice is a decent Halloween snack whose undemanding mystery gets a lift from nifty visuals and an all-star cast."," ""A Haunting in Venice"" is set in eerie, post-World War II Venice on All Hallows' Eve and is a terrifying... [More]"
159,"Red, White & Royal Blue",(2023),76,"Amusing and endearing, Red, White & Royal Blue is a cheerfully formulaic rom-com that embraces inclusion without falling back on stereotypes."," Alex Claremont-Diaz (Taylor Zakhar Perez), the son of the President of the United States (Uma Thurman), and Britain's Prince Henry... [More]"
160,The Lesson,(2023),76,"Even if it isn't always quite as clever as it seems to think it is, sharp performances from an outrageously talented cast make The Lesson worth learning."," Liam (Daryl McCormack), an aspiring and ambitious young writer, eagerly accepts a tutoring position at the family estate of his... [More]"
161,Sitting in Bars with Cake,(2023),75,"A well-acted if slightly formulaic story of friendship, Sitting in Bars with Cake moves between laughter and tears without succumbing to melodrama."," Corinne convinces her baker best friend, Jane, to commit to a year of baking cakes and bringing them to bars... [More]"
162,Asteroid City,(2023),75,"Asteroid City is unlikely to win Wes Anderson many new converts, but those who respond to his signature style will find this a return to immaculately arranged form.", The itinerary of a Junior Stargazer/Space Cadet convention (organized to bring together students and parents from across the country for... [More]
163,Leave the World Behind,(2023),74,"An exceptionally well-acted apocalyptic thriller, Leave the World Behind steadily draws the viewer in despite its leisurely pace and somewhat simplistic messaging."," In this apocalyptic thriller from award-winning writer and director Sam Esmail (Mr. Robot), Amanda (Academy Award winner Julia Roberts) and... [More]"
164,Strange Way of Life,(2023),76,"A tantalizing glimpse of the bond between two people, the well-acted Strange Way of Life adds a brief but still rewarding chapter to Pedro Almodóvar's filmography.", A man rides a horse across the desert that separates him from Bitter Creek. He comes to visit Sheriff Jake.... [More]
165,Moving On,(2022),75,"Moving On fails frustratingly often to rise to the level of its leads, but Jane Fonda and Lily Tomlin are entertaining company regardless of the context.", Jane Fonda and Lily Tomlin star as estranged friends who reunite to seek revenge on the petulant widower (Malcolm McDowell)... [More]
166,The Offering,(2022),74,"Within the outline of its fairly standard story, The Offering puts a unique -- and often genuinely scary -- spin on demonic possession horror tropes."," In the wake of a young Jewish girl's disappearance, the son of a Hasidic funeral director returns home with his... [More]"
167,The Inventor,(2023),75,"A beautifully animated history lesson, The Inventor seems somewhat uncertain as to which audience it's trying to reach, but it remains amusing and often engaging."," ""The Inventor"" follows famed inventor and artist Leonardo da Vinci after he leaves Italy for France. In his new country,... [More]"
168,Elemental,(2023),73,"Elemental may not satisfy as fully as the greatest Pixar pictures, but it remains a solid story told with dazzling visual flair."," Disney and Pixar's ""Elemental,"" an all-new, original feature film set in Element City, where fire-, water-, land- and air-residents live... [More]"
169,Medusa Deluxe,(2022),72,"A uniquely stylish whodunit, Medusa Deluxe positions debuting director/co-writer Thomas Hardiman as a talented filmmaker with exciting potential."," Talented, ambitious, and backstabbing hairstylists gather for a competition in England, only to find one of their own murdered before... [More]"
